Id,Bound
0,1
1,1
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,0
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,0
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,0
172,1
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,0
186,1
187,0
188,0
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,0
259,1
260,1
261,0
262,0
263,1
264,1
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,1
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,1
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,1
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,0
392,1
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,0
406,1
407,0
408,1
409,1
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,1
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,0
454,0
455,1
456,0
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,1
471,0
472,1
473,0
474,0
475,0
476,1
477,0
478,0
479,1
480,1
481,1
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,1
507,0
508,1
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,1
526,1
527,0
528,0
529,0
530,1
531,0
532,0
533,0
534,1
535,1
536,1
537,1
538,0
539,0
540,0
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,0
549,0
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,0
558,1
559,1
560,0
561,0
562,0
563,0
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,1
572,0
573,1
574,1
575,0
576,0
577,1
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,0
586,0
587,1
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,1
618,0
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,0
627,0
628,1
629,0
630,0
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,0
639,1
640,0
641,1
642,1
643,0
644,0
645,1
646,1
647,0
648,1
649,1
650,0
651,0
652,0
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,0
662,1
663,1
664,0
665,1
666,0
667,0
668,1
669,0
670,0
671,1
672,1
673,0
674,1
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,0
694,0
695,1
696,1
697,0
698,1
699,1
700,0
701,0
702,1
703,0
704,1
705,0
706,1
707,1
708,1
709,1
710,0
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,1
722,1
723,0
724,0
725,0
726,1
727,1
728,1
729,0
730,1
731,0
732,1
733,0
734,0
735,0
736,1
737,1
738,0
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,0
749,1
750,1
751,0
752,1
753,0
754,0
755,0
756,0
757,1
758,0
759,1
760,0
761,1
762,0
763,0
764,0
765,1
766,1
767,1
768,1
769,0
770,1
771,0
772,1
773,0
774,1
775,1
776,1
777,1
778,1
779,1
780,0
781,1
782,1
783,0
784,0
785,1
786,1
787,1
788,1
789,1
790,1
791,0
792,1
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,0
802,0
803,1
804,1
805,1
806,0
807,1
808,0
809,1
810,0
811,0
