,Id,Bound
0,1000,
1,1001,
2,1002,
3,1003,
4,1004,1.0
5,1005,
6,1006,
7,1007,
8,1008,1.0
9,1009,
10,1010,1.0
11,1011,
12,1012,
13,1013,
14,1014,1.0
15,1015,1.0
16,1016,
17,1017,1.0
18,1018,1.0
19,1019,
20,1020,
21,1021,
22,1022,1.0
23,1023,
24,1024,
25,1025,
26,1026,
27,1027,1.0
28,1028,
29,1029,1.0
30,1030,1.0
31,1031,
32,1032,
33,1033,
34,1034,1.0
35,1035,1.0
36,1036,1.0
37,1037,
38,1038,1.0
39,1039,
40,1040,1.0
41,1041,1.0
42,1042,
43,1043,1.0
44,1044,1.0
45,1045,
46,1046,
47,1047,
48,1048,
49,1049,
50,1050,
51,1051,
52,1052,
53,1053,1.0
54,1054,1.0
55,1055,
56,1056,
57,1057,1.0
58,1058,
59,1059,
60,1060,
61,1061,1.0
62,1062,1.0
63,1063,
64,1064,1.0
65,1065,1.0
66,1066,
67,1067,1.0
68,1068,
69,1069,1.0
70,1070,
71,1071,1.0
72,1072,
73,1073,
74,1074,
75,1075,
76,1076,
77,1077,
78,1078,
79,1079,
80,1080,
81,1081,1.0
82,1082,
83,1083,
84,1084,
85,1085,
86,1086,1.0
87,1087,
88,1088,
89,1089,
90,1090,
91,1091,
92,1092,1.0
93,1093,1.0
94,1094,
95,1095,1.0
96,1096,
97,1097,
98,1098,1.0
99,1099,
100,1100,
101,1101,1.0
102,1102,1.0
103,1103,1.0
104,1104,
105,1105,
106,1106,
107,1107,
108,1108,1.0
109,1109,
110,1110,
111,1111,1.0
112,1112,
113,1113,1.0
114,1114,1.0
115,1115,1.0
116,1116,1.0
117,1117,
118,1118,1.0
119,1119,
120,1120,
121,1121,1.0
122,1122,1.0
123,1123,
124,1124,
125,1125,1.0
126,1126,1.0
127,1127,
128,1128,1.0
129,1129,
130,1130,
131,1131,1.0
132,1132,1.0
133,1133,
134,1134,
135,1135,
136,1136,1.0
137,1137,1.0
138,1138,1.0
139,1139,
140,1140,
141,1141,1.0
142,1142,1.0
143,1143,1.0
144,1144,1.0
145,1145,1.0
146,1146,
147,1147,
148,1148,1.0
149,1149,1.0
150,1150,
151,1151,1.0
152,1152,1.0
153,1153,1.0
154,1154,1.0
155,1155,1.0
156,1156,
157,1157,
158,1158,
159,1159,
160,1160,1.0
161,1161,
162,1162,
163,1163,1.0
164,1164,1.0
165,1165,1.0
166,1166,1.0
167,1167,
168,1168,
169,1169,
170,1170,
171,1171,
172,1172,
173,1173,1.0
174,1174,1.0
175,1175,1.0
176,1176,1.0
177,1177,
178,1178,1.0
179,1179,1.0
180,1180,
