,Bound
0,1
1,1
2,1
3,0
4,1
5,0
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,1
66,0
67,1
68,1
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,0
152,0
153,1
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,1
219,0
220,0
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,0
231,0
232,0
233,1
234,0
235,1
236,1
237,1
238,0
239,0
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,0
259,1
260,1
261,0
262,1
263,1
264,0
265,0
266,0
267,1
268,1
269,1
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,0
281,1
282,1
283,0
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,1
309,1
310,0
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,0
326,1
327,1
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,0
353,0
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,1
362,0
363,1
364,0
365,1
366,1
367,1
368,1
369,0
370,0
371,1
372,0
373,1
374,1
375,0
376,0
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,0
393,1
394,0
395,0
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,1
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,0
418,0
419,1
420,1
421,1
422,0
423,0
424,1
425,1
426,0
427,1
428,1
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,1
449,0
450,1
451,1
452,0
453,0
454,1
455,1
456,0
457,0
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,1
482,0
483,0
484,1
485,0
486,1
487,1
488,0
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,0
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,1
505,1
506,1
507,0
508,0
509,1
510,0
511,1
512,1
513,1
514,1
515,0
516,1
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,1
527,1
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,1
537,1
538,0
539,1
540,1
541,1
542,1
543,0
544,0
545,0
546,0
547,1
548,1
549,0
550,0
551,0
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,0
562,1
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,0
580,0
581,0
582,0
583,1
584,1
585,0
586,0
587,0
588,0
589,0
590,0
591,1
592,1
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,1
603,1
604,1
605,1
606,0
607,1
608,0
609,1
610,1
611,1
612,1
613,1
614,1
615,0
616,0
617,1
618,1
619,0
620,0
621,1
622,1
623,1
624,0
625,1
626,0
627,1
628,1
629,1
630,0
631,1
632,1
633,0
634,0
635,0
636,0
637,1
638,0
639,1
640,0
641,1
642,1
643,0
644,1
645,1
646,1
647,0
648,1
649,1
650,1
651,0
652,1
653,0
654,1
655,0
656,1
657,1
658,0
659,1
660,0
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,0
670,0
671,0
672,0
673,1
674,1
675,0
676,1
677,1
678,0
679,0
680,1
681,1
682,0
683,0
684,1
685,0
686,1
687,1
688,0
689,0
690,1
691,1
692,1
693,0
694,0
695,0
696,1
697,1
698,0
699,0
700,1
701,1
702,1
703,0
704,0
705,1
706,0
707,0
708,1
709,0
710,1
711,0
712,0
713,1
714,0
715,0
716,1
717,0
718,1
719,0
720,1
721,1
722,1
723,1
724,1
725,0
726,0
727,1
728,0
729,0
730,1
731,1
732,0
733,1
734,1
735,0
736,0
737,1
738,1
739,0
740,1
741,1
742,0
743,1
744,0
745,1
746,0
747,0
748,1
749,1
750,0
751,1
752,0
753,1
754,1
755,1
756,0
757,0
758,0
759,1
760,1
761,1
762,1
763,0
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,1
772,0
773,1
774,0
775,0
776,0
777,0
778,1
779,1
780,1
781,1
782,0
783,0
784,1
785,1
786,1
787,1
788,1
789,0
790,1
791,1
792,1
793,1
794,1
795,1
796,0
797,0
798,1
799,1
800,0
801,1
802,1
803,1
804,1
805,0
806,0
807,0
808,1
809,1
810,1
811,1
812,0
